temperature_rnn,humidity_rnn,pressure_rnn,windSpeed_rnn,irradiance_rnn,temperature_actual,humidity_actual,pressure_actual,windSpeed_actual,irradiance_actual
30.110712,70.370445,1009.1944,0.044222496,2.2675395,30.2,69.6,1009.18,0.0,0.0
30.114902,70.333595,1009.20447,0.043267883,2.3004413,30.3,69.7,1009.17,0.0,0.0
30.149967,70.25998,1009.2005,0.0450077,2.0165443,30.2,69.7,1009.1600000000001,0.0,0.0
30.1323,70.357735,1009.201,0.045397133,2.3292005,30.3,69.6,1009.18,0.0,0.0
30.16698,70.25511,1009.2038,0.04572203,2.3825467,30.3,69.6,1009.17,0.0,0.0
30.186111,70.22817,1009.20325,0.047178097,2.595663,30.3,69.6,1009.1999999999999,0.0,0.0
30.195133,70.22298,1009.21545,0.046133153,2.3137927,30.3,69.6,1009.17,0.0,0.0
30.200525,70.24688,1009.2132,0.04773569,2.704054,30.3,69.6,1009.18,0.0,0.0
30.203552,70.26678,1009.2153,0.047602605,2.6625395,30.3,69.4,1009.1999999999999,0.0,0.0
30.216394,70.18768,1009.2264,0.047226563,3.1330585,30.3,69.4,1009.15,0.0,0.0
30.22174,70.169136,1009.2146,0.050103705,3.634274,30.3,69.4,1009.17,0.0,0.0
30.222378,70.15302,1009.2128,0.04953647,3.213197,30.3,69.3,1009.19,0.0,0.0
30.226294,70.08938,1009.22003,0.048458144,3.1015575,30.3,69.3,1009.15,0.0,0.0
30.226498,70.068794,1009.2095,0.050315157,3.3487678,30.3,69.2,1009.18,0.0,0.0
30.22945,70.001045,1009.21375,0.049183365,3.1326413,30.3,69.2,1009.19,0.0,0.0
30.227291,69.95696,1009.2206,0.048247673,2.8192103,30.3,69.2,1009.19,0.0,0.0
30.22346,69.93124,1009.22485,0.047939822,2.664119,30.3,69.1,1009.1999999999999,0.0,0.0
30.224995,69.86957,1009.23206,0.047644112,2.7978718,30.3,68.9,1009.22,0.0,0.0
30.233606,69.74295,1009.24603,0.04731823,3.1835437,30.3,68.9,1009.2299999999999,0.0,0.0
30.232367,69.6736,1009.2588,0.047018234,2.985686,30.3,68.8,1009.28,0.0,0.0
30.231892,69.575516,1009.2865,0.044838913,2.6693344,30.3,68.8,1009.26,0.0,0.0
30.227686,69.53416,1009.29663,0.04597972,2.8742552,30.3,68.9,1009.25,0.0,0.0
30.217768,69.564476,1009.2962,0.046891756,2.6554465,30.3,68.9,1009.25,0.0,0.0
30.213415,69.58298,1009.2938,0.047374733,2.6619434,30.3,68.8,1009.2700000000001,0.0,0.0
30.217194,69.54302,1009.2998,0.04699333,2.8389692,30.3,68.8,1009.26,0.0,0.0
30.21849,69.52761,1009.30005,0.04781986,3.0049384,30.3,68.6,1009.2400000000001,0.0,0.0
30.230581,69.444115,1009.2937,0.050042115,3.855586,30.3,68.5,1009.29,0.0,0.0
30.237549,69.339165,1009.3092,0.048349876,3.5398304,30.3,68.5,1009.28,0.0,0.0
30.236597,69.28727,1009.31616,0.048744485,3.457725,30.3,68.4,1009.28,0.0,0.0
30.238352,69.21832,1009.32074,0.04929699,3.6210418,30.3,68.4,1009.2999999999998,0.0,0.0
30.234875,69.17448,1009.33044,0.048467338,3.26097,30.3,68.4,1009.2999999999998,0.0,0.0
30.230366,69.15078,1009.3361,0.04842369,3.1362772,30.3,68.4,1009.29,0.0,0.0
30.226727,69.14275,1009.33496,0.049107585,3.1818748,30.3,68.3,1009.34,2.09,0.0
30.268429,68.60203,1009.30164,0.81899554,0.0,30.3,68.3,1009.3200000000002,1.82,0.0
30.256653,68.5653,1009.316,1.0608344,0.0,30.3,68.2,1009.31,0.0,0.0
30.22984,68.94104,1009.36145,0.5260941,6.881505,30.3,68.0,1009.37,0.0,0.0
30.235737,68.9999,1009.38306,0.32657397,7.313281,30.4,68.1,1009.33,0.0,0.0
30.280787,68.90094,1009.3699,0.24786471,6.7352653,30.3,68.1,1009.36,0.0,0.0
30.26669,68.92922,1009.38086,0.20275047,5.836308,30.4,68.3,1009.31,0.0,0.0
30.284649,68.92922,1009.3641,0.17592399,5.0089064,30.3,68.3,1009.33,0.0,0.0
30.255972,69.045135,1009.36865,0.1511605,4.612148,30.4,68.3,1009.37,0.0,0.0
30.277725,68.97878,1009.38275,0.13024718,3.9129555,30.4,68.3,1009.39,0.0,0.0
30.289677,68.95709,1009.4023,0.113620825,3.797412,30.3,67.1,1009.37,0.0,0.0
30.325848,68.56347,1009.4259,0.10462389,8.20902,30.3,66.6,1009.39,0.0,0.0
30.351902,68.12978,1009.45245,0.09575406,9.315311,30.3,66.4,1009.4,0.0,0.0
30.354074,67.797424,1009.471,0.087908104,8.705407,30.3,66.8,1009.3799999999999,0.0,0.0
30.313885,67.7821,1009.4655,0.08057717,6.220192,30.3,65.6,1009.44,0.0,0.0
30.3522,67.21571,1009.48956,0.07510352,8.349716,30.3,65.3,1009.4,0.0,0.0
30.365864,66.79117,1009.49,0.07430814,8.804739,30.3,65.6,1009.39,0.0,0.0
30.33429,66.6859,1009.47784,0.07086707,6.4556303,30.3,65.5,1009.44,0.0,0.0
30.311066,66.54999,1009.4846,0.06478521,4.9051642,30.3,65.5,1009.4,0.0,0.0
30.290863,66.478905,1009.47156,0.06343072,4.548669,30.3,65.3,1009.45,0.0,0.0
30.284357,66.327034,1009.48157,0.05937787,4.1510763,30.3,65.4,1009.4599999999999,0.0,0.0
30.267696,66.27752,1009.4911,0.056541167,3.3945143,30.3,65.6,1009.4899999999999,0.0,0.0
30.243307,66.32144,1009.50665,0.05280197,2.267331,30.3,65.7,1009.48,0.0,0.0
30.226486,66.39201,1009.51215,0.051769882,2.2004545,30.3,65.8,1009.4899999999999,0.0,0.0
30.215384,66.473114,1009.51825,0.0505915,2.1645129,30.3,66.0,1009.48,0.0,0.0
30.203625,66.61172,1009.5167,0.050366927,2.099365,30.3,66.1,1009.4899999999999,0.0,0.0
30.199072,66.73121,1009.519,0.049642507,2.1998584,30.3,66.2,1009.44,0.0,0.0
30.20014,66.86507,1009.5011,0.052210193,2.9772818,30.3,66.4,1009.5199999999999,0.0,0.0
30.194372,66.996414,1009.51886,0.047899656,1.962781,30.3,66.3,1009.47,0.0,0.0
30.206396,67.04747,1009.5151,0.05041334,3.3657253,30.3,66.2,1009.48,0.0,0.0
30.22247,67.03717,1009.51825,0.05126745,4.1043463,30.3,66.3,1009.5300000000001,0.0,0.0
30.22471,67.059425,1009.53973,0.048757426,3.514886,30.3,66.5,1009.51,0.0,0.0
30.216745,67.16811,1009.54553,0.04899905,3.297776,30.3,66.5,1009.5199999999999,0.0,0.0
30.217113,67.22633,1009.5528,0.048893187,3.4952462,30.3,66.6,1009.48,0.0,0.0
30.21669,67.3197,1009.541,0.051201843,3.9228797,30.3,66.5,1009.5300000000001,0.0,0.0
30.225403,67.308846,1009.5526,0.049608234,3.944695,30.3,66.5,1009.5300000000001,0.0,0.0
30.23103,67.30362,1009.5614,0.04973355,4.150152,30.4,66.6,1009.5199999999999,0.0,0.0
30.268452,67.24754,1009.55676,0.051969286,3.949076,30.3,66.6,1009.5199999999999,0.0,0.0
30.25263,67.35289,1009.56036,0.052031677,4.22439,30.4,66.7,1009.5300000000001,0.0,0.0
30.278025,67.34206,1009.5599,0.052328013,3.7791133,30.4,66.6,1009.54,0.0,0.0
30.300974,67.31297,1009.5657,0.053062428,4.2099953,30.4,66.7,1009.55,0.0,0.0
30.307789,67.35792,1009.5741,0.052853473,3.9883554,30.3,66.6,1009.5300000000001,0.0,0.0
30.280481,67.46607,1009.5798,0.05301271,4.839897,30.4,66.6,1009.5600000000001,0.0,0.0
30.303371,67.38982,1009.58795,0.05241263,4.506201,30.4,66.6,1009.54,0.0,0.0
30.31747,67.36697,1009.58563,0.054318912,4.7989187,30.3,66.6,1009.5300000000001,0.0,0.0
30.286472,67.47289,1009.58575,0.054097373,5.034387,30.4,66.6,1009.5300000000001,0.0,0.0
30.308365,67.403435,1009.57837,0.054872576,4.8168,30.4,66.7,1009.5300000000001,0.0,0.0
30.315594,67.416916,1009.5722,0.055293787,4.4308305,30.4,66.8,1009.5600000000001,0.0,0.0
