timestamp,total_sequence,test_sequence,temperature_MAE,temperature_RMSE,temperature_MAPE,temperature_R2,humidity_MAE,humidity_RMSE,humidity_MAPE,humidity_R2,pressure_MAE,pressure_RMSE,pressure_MAPE,pressure_R2,windSpeed_MAE,windSpeed_RMSE,windSpeed_MAPE,windSpeed_R2,irradiance_MAE,irradiance_RMSE,irradiance_MAPE,irradiance_R2,overall_MAE,overall_RMSE,overall_MAPE,overall_R2
2026-07-11 12:29:25,3812,572,0.0112,0.0265,11.0755,0.9882,0.0382,0.054,7.0958,0.9746,0.0143,0.0189,2.3454,0.9545,0.0534,0.0879,33.7472,0.498,0.0126,0.0472,0.8997,0.9897,0.026,0.0528,8.6559,0.881
2026-07-11 18:23:35,4131,620,0.0167,0.03,9.1139,0.9839,0.0239,0.0437,8.4143,0.9815,0.0141,0.0185,3.9638,0.9931,0.0452,0.0705,14.5899,0.8219,0.0054,0.0444,0.4419,0.9874,0.0211,0.0449,7.0947,0.9536
2026-07-12 02:00:41,4599,690,0.0111,0.0134,5.3903,0.995,0.0144,0.0173,3.4768,0.9937,0.0078,0.01,3.0433,0.9966,0.0361,0.0618,15.4542,0.8672,0.0052,0.0129,3.1773,0.9993,0.0149,0.0302,5.4502,0.9704
2026-07-12 10:02:11,5067,761,0.013,0.0165,21.2571,0.9643,0.0131,0.0168,1.6851,0.9861,0.014,0.0174,3.0858,0.9736,0.0418,0.0761,43.1092,0.5205,0.0133,0.0253,4.2402,0.9968,0.0191,0.0382,10.3614,0.8883
2026-07-12 10:19:21,5084,763,0.012,0.0138,15.1209,0.9766,0.013,0.0164,1.6805,0.987,0.0118,0.0146,2.5267,0.9838,0.0483,0.0762,35.5088,0.5397,0.015,0.0261,3.7675,0.9967,0.02,0.0379,8.0779,0.8968
2026-07-12 11:32:31,5157,774,0.0181,0.0208,27.5972,0.9715,0.0153,0.0198,2.08,0.9865,0.0164,0.0192,3.6689,0.9785,0.0538,0.0803,30.2473,0.5866,0.0232,0.0357,5.3468,0.994,0.0254,0.0423,11.9137,0.9034
2026-07-12 12:08:05,5193,779,0.167,0.2149,0.613,0.9837,1.2784,1.6084,1.4225,0.9693,0.1372,0.1604,0.0136,0.9684,0.3323,0.493,31.7173,0.608,16.061,28.8382,3.5324,0.9961,3.5952,12.9193,4.0733,0.9051
2026-07-13 02:00:48,5922,889,0.1284,0.1768,0.4194,0.9941,0.5046,0.6649,0.6986,0.9955,0.0642,0.0774,0.0064,0.9979,0.3047,0.4717,16.9589,0.685,6.4672,13.0937,1.3591,0.9993,1.4938,5.8677,2.3617,0.9344
2026-07-13 10:08:30,5993,899,0.1385,0.2956,0.4396,0.9866,0.5385,1.4471,0.7972,0.9838,0.0919,0.1105,0.0091,0.9947,0.3266,0.4721,19.3613,0.6821,7.1333,35.7096,1.921,0.9945,1.6457,15.9849,2.808,0.9283
2026-07-14 02:00:41,6933,1040,0.16,0.3002,0.5022,0.9894,0.7128,1.4947,1.0127,0.9899,0.0445,0.0576,0.0044,0.9977,0.219,0.3674,14.0566,0.8486,9.7811,35.1262,3.2628,0.9949,2.1835,15.7246,2.6038,0.9641
2026-07-15 10:33:08,8870,1331,0.1343,0.1775,0.4283,0.9961,0.6312,0.7653,0.7967,0.997,0.0459,0.0571,0.0045,0.9978,0.2202,0.3702,17.1896,0.8326,7.8323,12.7653,3.1386,0.9993,1.7728,5.722,2.5245,0.9646
2026-07-16 02:00:55,9747,1463,0.1176,0.1596,0.375,0.9976,0.6973,0.8943,0.9186,0.9967,0.0434,0.0564,0.0043,0.9969,0.2462,0.435,28.3846,0.6846,17.9924,37.8795,7.5507,0.9938,3.8194,16.9463,3.7624,0.9339
2026-07-17 02:01:18,11173,1676,0.0837,0.1144,0.2705,0.9985,0.4478,0.5561,0.5449,0.9984,0.0479,0.0589,0.0047,0.9964,0.1495,0.3122,32.1651,0.6766,9.2284,32.9943,4.7086,0.9953,1.9914,14.7584,2.0818,0.9331
2026-07-17 10:46:18,11578,1737,0.1252,0.1689,0.4046,0.9967,0.4459,0.6418,0.5756,0.9979,0.0481,0.0636,0.0048,0.9947,0.0919,0.2088,25.3372,0.7005,10.0851,14.4359,3.344,0.9991,2.1592,6.4635,1.1774,0.9378
